2025-07-02T15:32:48.187+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] e.s.ProductSpringBatchProjectApplication : Starting ProductSpringBatchProjectApplication using Java 21.0.6 with PID 34656 (D:\Workspace\STS\ProductSpringBatchProject\target\classes started by Lenovo in D:\Workspace\STS\ProductSpringBatchProject)
2025-07-02T15:32:48.188+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] e.s.ProductSpringBatchProjectApplication : No active profile set, falling back to 1 default profile: "default"
2025-07-02T15:32:48.218+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-07-02T15:32:48.517+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2025-07-02T15:32:48.533+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 10 ms. Found 0 JDBC repository interfaces.
2025-07-02T15:32:49.725+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 27.0 originalPrice: 2900.0 discount: 783.0 finalPrice: 2117.0
2025-07-02T15:32:49.725+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 27
2025-07-02T15:32:49.725+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 28.0 originalPrice: 3000.0 discount: 840.0000000000001 finalPrice: 2160.0
2025-07-02T15:32:49.725+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 28
2025-07-02T15:32:49.725+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 29.0 originalPrice: 3100.0 discount: 898.9999999999999 finalPrice: 2201.0
2025-07-02T15:32:49.725+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 29
2025-07-02T15:32:49.725+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 30.0 originalPrice: 3200.0 discount: 960.0 finalPrice: 2240.0
2025-07-02T15:32:49.726+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 30
2025-07-02T15:32:49.726+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 31.0 originalPrice: 3300.0 discount: 1023.0 finalPrice: 2277.0
2025-07-02T15:32:49.735+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 31
